rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
1,New York[d],New York,8336817,8175133,1.98,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40.663500000000006,-73.9387,1 New York City)
2,Los Angeles,California,3979576,3792621,4.930000000000001,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34.0194,-118.41080000000001,2 Los Angeles)
3,Chicago,Illinois,2693976,2695598,0.06,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41.837599999999995,-87.6818,3 Chicago)
4,Houston[3],Texas,2320268,2100263,10.48,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29.786599999999996,-95.3909,4 Houston)
5,Phoenix,Arizona,1680992,1445632,16.279999999999998,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33.5722,-112.0901,6 Phoenix)
6,Philadelphia[e],Pennsylvania,1584064,1526006,3.8,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40.0094,-75.13329999999999,5 Philadelphia)
7,San Antonio,Texas,1547253,1327407,16.56,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29.472399999999997,-98.5251,7 San Antonio)
8,San Diego,California,1423851,1307402,8.91,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32.8153,-117.13499999999999,8 San Diego)
9,Dallas,Texas,1343573,1197816,12.17,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32.79330000000001,-96.76650000000001,9 Dallas)
10,San Jose,California,1021795,945942,8.02,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37.29670000000001,-121.8189,10 San Jose)
11,Austin,Texas,978908,790390,23.85,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30.303900000000002,-97.7544,11 Austin)
12,Jacksonville[f],Florida,911507,821784,10.92,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30.336900000000004,-81.6616,12 Jacksonville)
13,Fort Worth,Texas,909585,741206,22.72,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32.7815,-97.3467,16 Fort Worth)
14,Columbus,Ohio,898553,787033,14.17,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39.9852,-82.9848,15 Columbus)
15,Charlotte,North Carolina,885708,731424,21.09,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35.2078,-80.831,17 Charlotte)
16,San Francisco[g],California,881549,805235,9.48,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37.7272,-123.0322,13 San Francisco)
17,Indianapolis[h],Indiana,876384,820445,6.819999999999999,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39.776700000000005,-86.1459,14 Indianapolis)
18,Seattle,Washington,753675,608660,23.830000000000002,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47.62050000000001,-122.3509,20 Seattle)
19,Denver[i],Colorado,727211,600158,21.17,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39.761900000000004,-104.8811,Denver)
20,Washington[j],District of Columbia,705749,601723,17.29,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38.9041,-77.01720000000002,"Washington, D.C.)"
21,Boston,Massachusetts,692600,617594,12.139999999999999,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42.332,-71.0202,Boston)
22,El Paso,Texas,681728,649121,5.02,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31.848399999999998,-106.427,19 El Paso)
23,Nashville[k],Tennessee,670820,601222,11.58,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36.1718,-86.785,Nashville)
24,Detroit,Michigan,670031,713777,6.13,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42.382999999999996,-83.1022,18 Detroit)
25,Oklahoma City,Oklahoma,655057,579999,12.94,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35.4671,-97.5137,Oklahoma City)
26,Portland,Oregon,654741,583776,12.16,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45.537,-122.64999999999999,Portland)
27,Las Vegas,Nevada,651319,583756,11.57,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36.229200000000006,-115.26010000000001,Las Vegas)
28,Memphis,Tennessee,651073,646889,0.65,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35.1028,-89.9774,Memphis)
29,Louisville[l],Kentucky,617638,597337,3.4,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38.165400000000005,-85.6474,Louisville)
30,Baltimore[m],Maryland,593490,620961,4.42,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39.3,-76.6105,Baltimore)
31,Milwaukee,Wisconsin,590157,594833,0.7899999999999999,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43.063300000000005,-87.9667,Milwaukee)
32,Albuquerque,New Mexico,560513,545852,2.69,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35.1056,-106.6474,Albuquerque)
33,Tucson,Arizona,548073,520116,5.38,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32.1531,-110.8706,Tucson)
34,Fresno,California,531576,494665,7.46,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36.7836,-119.7934,Fresno)
35,Mesa,Arizona,518012,439041,17.99,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33.4019,-111.71740000000001,Mesa)
36,Sacramento,California,513624,466488,10.1,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38.5666,-121.46860000000001,Sacramento)
37,Atlanta,Georgia,506811,420003,20.67,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33.76290000000001,-84.42269999999999,Atlanta)
38,Kansas City,Missouri,495327,459787,7.73,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39.12510000000001,-94.551,"Kansas City, MO)"
39,Colorado Springs,Colorado,478221,416427,14.84,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38.8673,-104.7607,Colorado Springs)
40,Omaha,Nebraska,478192,408958,16.93,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41.2644,-96.0451,Omaha)
41,Raleigh,North Carolina,474069,403892,17.38,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35.8306,-78.6418,Raleigh)
42,Miami,Florida,467963,399457,17.150000000000002,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25.775199999999998,-80.2086,Miami)
43,Long Beach,California,462628,462257,0.08,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33.8092,-118.15529999999998,Long Beach)
44,Virginia Beach[m],Virginia,449974,437994,2.74,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36.78,-76.0252,Virginia Beach)
45,Oakland,California,433031,390724,10.83,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37.769800000000004,-122.22569999999999,Oakland)
46,Minneapolis,Minnesota,429606,382578,12.29,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44.963300000000004,-93.2683,Minneapolis)
47,Tulsa,Oklahoma,401190,391906,2.3699999999999997,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36.127900000000004,-95.9023,Tulsa)
48,Tampa,Florida,399700,335709,19.06,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27.9701,-82.4797,Tampa)
