"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-01","4.25"," 2045"," 1213","0.28",,"0.0","0.0",,"63","39",,"  150","  200","17.0","23.9","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-02","7.38"," 0415"," 1934","0.17",,"0.0","0.0",,"62","37",,"  220","  360","14.1","23.9","    1",,,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-03","2.01"," 1043"," 1042","0.00",,"0.0","0.0",,"45","26",,"   40","   30","10.1","14.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-04","4.92"," 1311"," 1327","0.00",,"0.0","0.0",,"54","23",,"  230","  250","17.9","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-05","0.67"," 1625"," 1059","0.00",,"0.0","0.0",,"46","26",,"  150","   20","6.0","8.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-06","2.24"," 1100"," 2229","0.15",,"0.0","0.0",,"48","32",,"   30","  200","8.9","13.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-07","5.37"," 1449"," 1449","0.00",,"0.0","0.0",,"46","31",,"  230","  230","17.9","23.0",,,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-08","6.71"," 1259"," 1450","0.00",,"0.0","0.0",,"44","24",,"  300","  320","19.9","31.1","    1",,,,,,,,"    1",,,"    1",,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-09","4.03"," 1247"," 0050","0.00",,"0.0","0.0",,"35","19",,"  330","  300","13.0","21.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-10","4.70"," 2127"," 2127","0.12",,"0.3","0.0",,"34","26",,"   40","   40","14.1","17.0","    1",,,"    1",,,,,"    1","    1",,"    1",,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-11","5.82"," 2334"," 2201","0.08",,"0.0","0.0",,"32","28",,"  240","  250","13.0","19.9","    1",,,"    1",,,,,"    1","    1","    1",,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-12","9.17"," 1431"," 1853","0.00",,"0.0","0.0",,"38","26",,"  290","  310","21.9","29.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-13","3.80"," 1146"," 1237","0.00",,"0.0","0.0",,"42","20",,"  350","  320","12.1","17.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-14","1.12"," 1616"," 1318","0.00",,"0.0","0.0",,"41","19",,"  230","  230","8.1","10.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-15","6.71"," 1429"," 1450","0.00",,"0.0","0.0",,"50","26",,"  240","  230","17.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-16","1.34"," 1357"," 1356","0.00",,"0.0","0.0",,"53","25",,"   60","   50","8.9","14.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-17","7.16"," 1737"," 1536","0.03",,"0.0","0.0",,"46","30",,"   50","   50","14.1","17.9","    1",,,,,,"    1","    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-18","4.70"," 0133"," 0136","0.00",,"0.0","0.0",,"47","32",,"   20","   10","13.0","21.9","    1","    1",,,,,,,"    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-19","5.14"," 1347"," 1339","0.00",,"0.0","0.0",,"61","42",,"  280","  320","15.0","21.0","    1",,,,,,,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-20","3.13"," 2246"," 2245","0.00",,"0.0","0.0",,"51","28",,"  200","  220","14.1","19.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-21","7.16"," 0508"," 0508","0.00",,"0.0","0.0",,"47","28",,"  300","  290","17.9","32.0",,,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-22","5.82"," 1029"," 0909","0.00",,"0.0","0.0",,"32","17",,"   50","   40","14.1","17.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-23","2.24"," 1446"," 1103","0.00",,"0.0","0.0",,"46","16",,"  290","  270","10.1","16.1",,,,,,,,,,,,,,
